"Sample ID","NPOC (mg/l)","TNb (mg/l)"
"HAW-B-1",301.519,17.715
"HAW-B-10",364.203,18.725
"HAW-B-2",315.953,20.8223333333333
"HAW-B-3",497.348,25.7726666666667
"HAW-B-4",819.345,54.4786666666667
"HAW-B-5",666.559,73.8926666666667
"HAW-B-6",592.687,38.6553333333333
"HAW-B-7",481.141,45.2426666666667
"HAW-B-8",315.754666666667,16.8683333333333
"HAW-B-9",555.524,27.7746666666667
"WHI-B-1",390.936666666667,27.121
"WHI-B-10",355.115333333333,20.095
"WHI-B-2",306.321,16.4216666666667
"WHI-B-3",422.514333333333,22.355
"WHI-B-4",319.552666666667,14.6716666666667
"WHI-B-5",471.367666666667,21.7253333333333
"WHI-B-6",357.717333333333,28.4876666666667
"WHI-B-7",502.934,34.7076666666667
"WHI-B-8",316.151333333333,20.6456666666667
"WHI-B-9",329.270333333333,21.8556666666667
"WHI-H-1",417.129333333333,11.485
"WHI-H-10",323.068666666667,12.324
"WHI-H-2",412.978666666667,14.4643333333333
"WHI-H-3",735.635,13.69
"WHI-H-4",323.305666666667,8.28933333333333
"WHI-H-5",463.824666666667,10.0443333333333
"WHI-H-6",439.914,11.4646666666667
"WHI-H-7",377.509666666667,13.9783333333333
"WHI-H-8",312.76,9.26866666666667
"WHI-H-9",457.929,10.1996666666667
